lat,lon,amplitude_1014kgm,year,month,day,hour,minute,second,lat2,lon2,Msurf,Region Number,ID
66.4,-38.34,0.44,2007,8,13,20,37,52,66.25,-38.75,4.8,2,S200708132037X
74.63,-56.21,0.43,2007,8,25,9,19,4,75.25,-56.75,4.9,4e,S200708250919X
71.83,-51.13,0.18,2007,9,11,22,42,0,70.25,-50.75,4.6,6,S200709112242X
74.62,-56.19,0.29,2007,10,13,5,55,12,74.75,-56.75,4.8,4e,S200710130555X
66.49,-38.33,0.73,2007,11,21,18,4,56,66.25,-38.75,5,2,S200711211804X
68.72,-33.41,0.36,2007,11,24,0,8,56,68.5,-33.5,4.8,1,S200711240008X
66.33,-38.33,0.96,2007,11,24,12,54,32,66.5,-38.5,4.9,2,S200711241254X
66.39,-38.34,0.42,2007,11,24,13,29,52,67.25,-38.25,4.8,2,S200711241329X
74.65,-56.01,0.41,2007,12,14,6,39,36,75.25,-56.75,4.9,4e,S200712140639X
66.44,-38.21,0.54,2007,12,31,14,40,56,66.25,-38.75,4.9,2,S200712311440X
72.92,-54.54,0.26,2008,2,14,5,12,24,72.75,-55.75,4.8,5b,S200802140512X
76.13,-59.65,0.4,2008,4,5,21,6,8,75.5,-56.5,4.8,4b,S200804052106X
74.76,-55.99,0.19,2008,4,7,13,58,0,74.25,-56.75,4.7,4e,S200804071358X
65.38,-40.98,0.28,2008,5,4,12,52,40,65.5,-41.5,4.8,3,S200805041252X
69.18,-49.41,0.43,2008,5,28,21,6,40,70.75,-49.25,4.7,7,S200805282106X
69.28,-49.39,0.23,2008,6,12,17,20,8,69,-49,4.7,7,S200806121720X
75.94,-59.97,0.32,2008,6,13,15,40,40,75.75,-57.75,4.8,4b,S200806131540X
74.75,-55.84,0.31,2008,6,19,15,20,0,74.75,-58.25,4.8,4e,S200806191520X
69.25,-49.52,0.23,2008,7,13,4,59,44,69.5,-49.5,4.8,7,S200807130459X
66.53,-38.22,0.29,2008,8,1,14,43,20,66.5,-38.5,4.8,2,S200808011443X
66.33,-38.58,0.41,2008,8,1,23,0,40,66.75,-39.25,4.8,2,S200808012300X
76.03,-59.8,1.09,2008,8,14,20,58,24,77.75,-58.75,5,4b,S200808142058X
66.48,-38.34,0.34,2008,8,19,21,5,28,66.25,-38.25,4.8,2,S200808192105X
68.66,-32.89,0.59,2008,11,3,16,44,48,68.75,-33.75,4.9,1,S200811031644X
77.8,-66.4,0.28,2008,11,7,13,44,24,77.5,-66.5,4.7,4a,S200811071344X
75.98,-59.68,0.72,2008,11,21,20,31,52,76,-58,4.9,4b,S200811212031X
68.69,-33.28,0.55,2008,11,25,4,10,40,68.5,-33.5,4.9,1,S200811250410X
68.67,-33.19,0.88,2008,12,13,14,47,52,68,-34,5,1,S200812131447X
71.8,-51.82,0.58,2009,1,8,16,11,4,72.5,-52.5,4.8,6,S200901081611A
66.4,-38.22,0.18,2009,2,6,18,51,36,65.75,-38.25,4.7,2,S200902061851A
66.49,-38.31,0.4,2009,2,6,18,59,4,66.25,-38.25,4.8,2,S200902061859A
73.08,-54.18,0.29,2009,2,7,19,14,32,74.25,-57.25,4.7,5b,S200902071914A
66.45,-38.33,0.51,2009,2,11,13,13,12,66.25,-38.25,4.9,2,S200902111313A
66.41,-38.22,0.56,2009,4,19,19,7,20,66.75,-38.75,4.9,2,S200904191907A
66.39,-38.46,0.7,2009,4,26,9,55,28,66.75,-37.75,4.9,2,S200904260955A
66.48,-38.11,0.32,2009,4,27,10,54,40,66.25,-38.75,4.7,2,S200904271054A
66.44,-38.04,0.25,2009,5,11,21,55,52,66.5,-37.5,4.8,2,S200905112155A
66.45,-38.45,0.77,2009,5,13,2,11,28,66.75,-36.25,4.9,2,S200905130211A
69.34,-49.84,0.26,2009,5,23,10,41,52,69.75,-50.25,4.7,7,S200905231041A
69.18,-49.7,0.34,2009,5,23,10,52,48,69.25,-48.25,4.7,7,S200905231052A
69.17,-49.37,0.25,2009,5,25,12,42,40,69.25,-48.25,4.7,7,S200905251242A
66.44,-38.47,0.38,2009,5,26,21,7,44,66.5,-38.5,4.7,2,S200905262107A
